Date,RM,SMB,HML,MOM,CG,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
1990-01-01,-7.8,-1.14,0.83,-2.98,0.5,-8.2364,-7.398,-5.1087,-6.6322,-6.3022,-9.1557,-9.6597,-7.1938,-7.5154,-9.0147,-9.633,-9.2108,-7.97,-6.5611,-7.696,-7.0273,-5.3589,-8.5868,-8.5147,-9.9603,-7.6333,-5.7648,-7.1512,-7.3211,-5.8932
1990-02-01,1.12,0.97,0.65,-0.51,-0.5,1.9141,2.0787,1.1086,3.4487,1.5145,3.3179,3.6562,2.8742,3.3203,2.3794,3.2731,3.5761,2.2408,1.2576,3.1374,1.6269,1.5777,1.4873,1.8295,3.5317,-0.0828,1.7983,2.3749,1.4147,2.0563
1990-03-01,1.83,1.47,-2.9,1.72,0.3,4.2963,2.2911,2.4861,3.7168,1.3778,4.6401,4.766,4.9896,3.1619,1.5408,5.1161,2.7948,3.0016,1.0625,-0.1866,3.7276,4.3154,1.9621,1.9239,-0.4494,3.8536,3.8098,0.4402,0.5368,1.2023
1990-04-01,-3.36,-0.47,-2.57,2.28,0.2,-2.4945,-2.6502,-1.8765,-2.5562,-3.5554,-4.0346,-3.5767,-1.9634,-3.0309,-5.5878,-2.3507,-1.8241,-3.4562,-5.3848,-5.9545,-2.8151,-4.173,-5.8558,-5.4795,-5.941,0.402,-1.3307,-3.7774,-4.1593,-4.1409
1990-05-01,8.43,-2.56,-3.89,3.14,-0.1,8.5047,6.4747,5.9255,4.1918,3.674,10.6511,8.7681,5.5877,5.5192,3.6412,9.3967,8.8237,7.5443,4.5683,6.4514,11.0156,7.8249,10.2134,7.4323,8.6495,11.6552,11.1217,7.7203,6.4604,7.6916
1990-06-01,-1.09,1.35,-2.0,2.49,0.3,1.0482,1.9821,2.6986,0.3864,-0.3098,0.1356,0.8545,-1.0585,0.0984,-0.6113,1.9148,0.4718,-0.4066,-1.5806,-0.6125,0.5701,-1.7862,-1.9148,-1.7995,-0.0235,3.4341,-2.1376,-2.3266,-3.4862,-0.3006
1990-07-01,-1.9,-3.08,-0.06,6.04,0.2,-4.744,-5.0232,-3.4949,-3.0361,-4.5499,-5.4578,-3.8577,-4.4573,-2.5719,-4.6045,-4.513,-1.4347,-3.2212,-4.8545,-4.2532,-2.3518,-0.8425,-4.2729,-2.2639,-2.8179,-0.8405,-1.4978,2.1151,-1.4011,-2.0358
1990-08-01,-10.12,-3.5,1.56,1.97,0.0,-16.2887,-14.7542,-12.6509,-11.055,-12.2331,-14.5432,-13.4333,-12.5463,-10.446,-11.1668,-13.8314,-13.398,-10.8023,-8.9066,-9.8377,-9.4743,-10.8971,-11.0439,-9.4744,-10.555,-8.6877,-10.1201,-6.6029,-9.5419,-10.5943
1990-09-01,-6.11,-3.64,0.59,5.71,0.0,-10.5087,-9.2336,-8.1034,-6.9004,-8.6792,-9.8345,-9.0022,-8.7623,-6.9499,-8.5706,-9.4358,-7.1756,-6.7005,-8.1735,-8.18,-5.8495,-6.2793,-9.7384,-6.5355,-7.9525,-5.2159,-5.252,-1.515,-6.6357,-7.4339
1990-10-01,-1.92,-5.52,0.08,6.74,-0.6,-6.6088,-6.65,-6.3207,-5.5214,-7.2871,-6.3134,-5.2704,-4.3569,-4.1345,-7.5258,-5.0715,-4.9835,-4.1651,-2.5149,-4.8608,-0.6855,-3.3469,-7.3204,-1.2545,-2.3798,1.5293,-1.631,-0.972,0.432,0.9095
1990-11-01,6.35,0.42,-2.97,-5.36,-0.1,3.5051,5.7029,4.0641,2.939,1.6237,11.8491,6.1617,6.9913,6.9106,4.2688,10.9549,9.2039,7.7201,7.7843,7.0843,9.1257,7.8959,11.2655,9.1462,5.9001,6.4113,7.7426,5.9444,6.2304,4.3625
1990-12-01,2.46,0.79,-1.57,0.25,-0.4,0.3483,-0.1947,0.0694,2.2842,0.3384,4.2667,5.8604,4.3178,4.0177,3.8772,6.7485,4.3869,3.6469,3.8469,3.301,3.9669,3.866,4.8848,4.417,3.3653,3.3358,3.7003,1.6735,2.3972,0.8096
1991-01-01,4.69,3.78,-1.48,-6.47,-0.9,7.8057,7.1576,10.7585,8.8886,11.1865,10.0161,6.6071,7.2899,6.3987,8.938,9.2578,9.1605,7.0495,7.9457,3.6878,8.401,4.0079,7.8052,4.3646,5.4534,5.1921,5.8633,1.9126,6.0378,3.9829
1991-02-01,7.19,4.01,-0.62,-4.94,0.6,14.4542,12.0217,13.7227,12.2548,11.6923,11.9072,10.2468,10.0669,8.3063,13.9236,9.4827,10.6321,8.5083,8.3987,8.5387,8.6841,9.3691,8.7872,7.4544,6.6159,8.2108,6.8529,5.1308,6.0836,7.9712
