Underlying,SnapshotDate,ExpirationDate,Maturity,StockPrice,RiskFree,DividendYield,Strike,Type,Bid,Ask,MidPrice,Volume,OpenInterest
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,250.0,Put,0.19,0.25,0.22,1,302
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,265.0,Put,0.24,0.31,0.275,1,25
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,630.0,Call,0.43,0.47,0.45,1,64
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,660.0,Call,0.3,0.33,0.315,1,11
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,670.0,Call,0.27,0.3,0.285,1,110
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,690.0,Call,0.21,0.24,0.225,1,121
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,255.0,Put,0.2,0.27,0.235,2,30
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,280.0,Put,0.32,0.36,0.34,2,47
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,535.0,Call,1.67,1.72,1.695,2,15
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,610.0,Call,0.56,0.6,0.58,2,19
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,285.0,Put,0.35,0.39,0.37,3,185
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,555.0,Call,1.2,1.24,1.22,6,27
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,305.0,Put,0.51,0.55,0.53,7,405
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,680.0,Call,0.24,0.27,0.255,7,16
TSLA,2026-05-08,2026-06-05,0.076712,427.08,0.03595,0.0,580.0,Call,0.83,0.87,0.85,8,152
