Date,RET_AAPL,RET_MSFT,RET_AMZN,RET_GOOGL,RET_META,RET_NVDA,RET_JPM,RET_V,RET_JNJ,RET_PG,RET_HD,RET_MA,RET_XOM,RET_BAC,RET_PFE,RET_KO,RET_PEP,RET_CVX,RET_MRK,RET_COST,RET_WMT,RET_DIS,Mkt-RF,RF,SMB,HML
2020-01-02,2.281614,1.851629,2.715061,2.186812,2.207061,1.959202,1.212346,1.713664,0.068572,-1.192936,0.586124,1.607568,1.605043,1.192469,-0.102079,-0.650407,-0.621935,0.763428,1.198445,-0.826770,0.084193,2.468350,0.860000,0.010000,-0.880000,-0.340000
2020-01-03,-0.972193,-1.245185,-1.213903,-0.523108,-0.529107,-1.600597,-1.319618,-0.795295,-1.157789,-0.672557,-0.332329,-0.975657,-0.803953,-2.076295,-0.536537,-0.545571,-0.139886,-0.345868,-0.858380,0.082333,-0.882834,-1.147100,-0.670000,0.010000,0.380000,0.010000
2020-01-06,0.796814,0.258477,1.488557,2.665397,1.883349,0.419376,-0.079553,-0.216233,-0.124727,0.138672,0.470466,0.266312,0.767804,-0.143278,-0.128422,-0.036547,0.383393,-0.338824,0.427441,0.027395,-0.203573,-0.580195,0.360000,0.010000,-0.070000,-0.550000
2020-01-07,-0.470319,-0.911777,0.209162,-0.193163,0.216363,1.210653,-1.700047,-0.264284,0.610681,-0.619142,-0.654677,-0.338620,-0.818397,-0.659961,-0.334377,-0.768246,-1.571800,-1.276937,-2.662570,-0.157579,-0.926424,0.034324,-0.190000,0.010000,-0.010000,-0.260000
2020-01-08,1.608612,1.592836,-0.780864,0.711774,1.013809,0.187549,0.780118,1.711773,-0.013786,0.426262,1.496424,1.764459,-1.508013,1.010969,0.800010,0.184303,0.514892,-1.142289,-0.672680,1.146367,-0.343200,-0.205898,0.470000,0.010000,-0.070000,-0.640000
2020-01-09,2.124108,1.249297,0.479917,1.049790,1.431085,1.098253,0.365112,0.693000,0.296607,1.093772,1.533000,1.311036,0.765544,0.171577,-0.435257,1.821549,0.066819,-0.161405,0.880374,1.605086,1.033048,-0.392021,0.650000,0.010000,-0.630000,-0.480000
2020-01-10,0.226078,-0.462680,-0.941060,0.645882,-0.109946,0.534946,-0.996807,0.269099,-0.226975,0.096913,-0.430755,0.669665,-0.888767,-0.827872,1.542811,0.343334,-0.192898,-0.910569,0.167834,-0.728104,-0.835047,-0.145009,-0.340000,0.010000,-0.190000,-0.340000
2020-01-13,2.136430,1.202449,0.432258,0.774682,1.765569,3.135256,0.830454,0.805082,0.441192,0.734036,-0.392476,1.298338,0.954578,0.921159,-0.202563,1.080506,1.486648,0.188936,-0.022346,0.884804,-0.429628,-0.511677,0.730000,0.010000,-0.110000,-0.090000
2020-01-14,-1.350345,-0.704291,-1.155821,-0.655533,-1.284303,-1.865225,1.166180,0.368582,0.562828,-0.152144,-0.237300,-1.449819,-0.859597,0.741558,1.674714,-0.231607,0.234389,-0.308591,0.469255,-0.040005,0.258859,0.917418,-0.060000,0.010000,0.400000,-0.180000
2020-01-15,-0.428524,0.647582,-0.396913,0.601829,0.954085,-0.691549,-1.498550,1.912783,0.334422,1.018541,0.798879,1.162117,-0.158935,-1.840310,1.497364,1.249989,1.717216,-0.146173,1.790226,0.356944,-0.774647,-0.606052,0.160000,0.010000,0.460000,-0.820000
